Score1,Score2,Correlation,Quartile
AR SCORE,AR SCORE,1.0,Top 25% – Q1
ER SCORE,AR SCORE,0.7568999587161527,Top 25% – Q1
FSR SCORE,AR SCORE,0.2368531445267952,Top 25% – Q1
CPF SCORE,AR SCORE,0.07125369547331127,Top 25% – Q1
IFR SCORE,AR SCORE,0.027976007206914424,Top 25% – Q1
ISR SCORE,AR SCORE,0.17952259144029198,Top 25% – Q1
ISD SCORE,AR SCORE,0.1440365574515363,Top 25% – Q1
IRN SCORE,AR SCORE,0.3842988681797304,Top 25% – Q1
EO SCORE,AR SCORE,0.5540372176180038,Top 25% – Q1
SUS SCORE,AR SCORE,0.45629579986806595,Top 25% – Q1
Overall SCORE,AR SCORE,0.8594306528392011,Top 25% – Q1
AR SCORE,ER SCORE,0.7568999587161527,Top 25% – Q1
ER SCORE,ER SCORE,1.0,Top 25% – Q1
FSR SCORE,ER SCORE,0.21540520452166434,Top 25% – Q1
CPF SCORE,ER SCORE,-0.01369709532978157,Top 25% – Q1
IFR SCORE,ER SCORE,-0.08468315803264301,Top 25% – Q1
ISR SCORE,ER SCORE,0.141901131036509,Top 25% – Q1
ISD SCORE,ER SCORE,0.12387106268881067,Top 25% – Q1
IRN SCORE,ER SCORE,0.06773172080337239,Top 25% – Q1
EO SCORE,ER SCORE,0.46530630706928094,Top 25% – Q1
SUS SCORE,ER SCORE,0.26144722298665196,Top 25% – Q1
Overall SCORE,ER SCORE,0.718359352517866,Top 25% – Q1
AR SCORE,FSR SCORE,0.2368531445267952,Top 25% – Q1
ER SCORE,FSR SCORE,0.21540520452166434,Top 25% – Q1
FSR SCORE,FSR SCORE,1.0,Top 25% – Q1
CPF SCORE,FSR SCORE,-0.1279447914653058,Top 25% – Q1
IFR SCORE,FSR SCORE,0.0768623359477825,Top 25% – Q1
ISR SCORE,FSR SCORE,0.14821534466988415,Top 25% – Q1
ISD SCORE,FSR SCORE,0.1411097384433187,Top 25% – Q1
IRN SCORE,FSR SCORE,-0.07137595836607924,Top 25% – Q1
EO SCORE,FSR SCORE,0.11375302996638281,Top 25% – Q1
