Quartile,Target,Other_Score,Correlation
Top 25% – Q1,AR SCORE,ER SCORE,0.7568999587161527
Top 25% – Q1,AR SCORE,FSR SCORE,0.2368531445267952
Top 25% – Q1,AR SCORE,CPF SCORE,0.07125369547331127
Top 25% – Q1,AR SCORE,IFR SCORE,0.027976007206914424
Top 25% – Q1,AR SCORE,ISR SCORE,0.17952259144029198
Top 25% – Q1,AR SCORE,ISD SCORE,0.1440365574515363
Top 25% – Q1,AR SCORE,IRN SCORE,0.3842988681797304
Top 25% – Q1,AR SCORE,EO SCORE,0.5540372176180038
Top 25% – Q1,AR SCORE,SUS SCORE,0.45629579986806595
Top 25% – Q1,AR SCORE,Overall SCORE,0.8594306528392011
Top 25% – Q1,FSR SCORE,AR SCORE,0.2368531445267952
Top 25% – Q1,FSR SCORE,ER SCORE,0.21540520452166434
Top 25% – Q1,FSR SCORE,CPF SCORE,-0.1279447914653058
Top 25% – Q1,FSR SCORE,IFR SCORE,0.0768623359477825
Top 25% – Q1,FSR SCORE,ISR SCORE,0.14821534466988415
Top 25% – Q1,FSR SCORE,ISD SCORE,0.1411097384433187
Top 25% – Q1,FSR SCORE,IRN SCORE,-0.07137595836607924
Top 25% – Q1,FSR SCORE,EO SCORE,0.11375302996638281
Top 25% – Q1,FSR SCORE,SUS SCORE,-0.02675979905884986
Top 25% – Q1,FSR SCORE,Overall SCORE,0.35080726035333054
Top 25% – Q1,ER SCORE,AR SCORE,0.7568999587161527
Top 25% – Q1,ER SCORE,FSR SCORE,0.21540520452166434
Top 25% – Q1,ER SCORE,CPF SCORE,-0.01369709532978157
Top 25% – Q1,ER SCORE,IFR SCORE,-0.08468315803264301
Top 25% – Q1,ER SCORE,ISR SCORE,0.141901131036509
Top 25% – Q1,ER SCORE,ISD SCORE,0.12387106268881067
Top 25% – Q1,ER SCORE,IRN SCORE,0.06773172080337239
Top 25% – Q1,ER SCORE,EO SCORE,0.46530630706928094
Top 25% – Q1,ER SCORE,SUS SCORE,0.26144722298665196
Top 25% – Q1,ER SCORE,Overall SCORE,0.718359352517866
Top 25% – Q1,EO SCORE,AR SCORE,0.5540372176180038
Top 25% – Q1,EO SCORE,ER SCORE,0.46530630706928094
Top 25% – Q1,EO SCORE,FSR SCORE,0.11375302996638281
Top 25% – Q1,EO SCORE,CPF SCORE,-0.07216235177663848
Top 25% – Q1,EO SCORE,IFR SCORE,0.06358018499141987
Top 25% – Q1,EO SCORE,ISR SCORE,0.09912050249995227
Top 25% – Q1,EO SCORE,ISD SCORE,0.07124555280091434
Top 25% – Q1,EO SCORE,IRN SCORE,0.31634839320989805
Top 25% – Q1,EO SCORE,SUS SCORE,0.33773040871422844
Top 25% – Q1,EO SCORE,Overall SCORE,0.5219411451080779
Top 25% – Q1,SUS SCORE,AR SCORE,0.45629579986806595
Top 25% – Q1,SUS SCORE,ER SCORE,0.26144722298665196
Top 25% – Q1,SUS SCORE,FSR SCORE,-0.02675979905884986
Top 25% – Q1,SUS SCORE,CPF SCORE,0.14303017813065963
Top 25% – Q1,SUS SCORE,IFR SCORE,0.362292504686577
Top 25% – Q1,SUS SCORE,ISR SCORE,0.38298615003554476
Top 25% – Q1,SUS SCORE,ISD SCORE,0.41239273476406213
Top 25% – Q1,SUS SCORE,IRN SCORE,0.5092033036136161
Top 25% – Q1,SUS SCORE,EO SCORE,0.33773040871422844
Top 25% – Q1,SUS SCORE,Overall SCORE,0.5172309423693308
25–50% – Q2,AR SCORE,ER SCORE,0.37204090659424605
25–50% – Q2,AR SCORE,FSR SCORE,-0.058947106437972366
25–50% – Q2,AR SCORE,CPF SCORE,-0.43770391362135597
25–50% – Q2,AR SCORE,IFR SCORE,-0.20856978871978166
25–50% – Q2,AR SCORE,ISR SCORE,-0.2284858946063435
25–50% – Q2,AR SCORE,ISD SCORE,-0.22226046193322416
25–50% – Q2,AR SCORE,IRN SCORE,0.2155230920992959
25–50% – Q2,AR SCORE,EO SCORE,0.24528505686182273
25–50% – Q2,AR SCORE,SUS SCORE,0.3111346470059845
25–50% – Q2,AR SCORE,Overall SCORE,0.3190759094729121
25–50% – Q2,FSR SCORE,AR SCORE,-0.058947106437972366
25–50% – Q2,FSR SCORE,ER SCORE,0.008758232320718049
25–50% – Q2,FSR SCORE,CPF SCORE,-0.43318758891434256
25–50% – Q2,FSR SCORE,IFR SCORE,0.007527521999732332
